,sub_num,block,galaxy,prt_rel_om
0,0,1,0,1.6
1,0,1,1,1.6666666666666667
2,0,1,2,4.666666666666667
3,0,2,0,2.0
4,0,2,1,1.0
5,0,2,2,3.4
6,0,3,1,1.4285714285714286
7,0,3,2,1.0
8,0,4,0,1.6666666666666667
9,0,4,2,2.6666666666666665
10,0,5,1,1.2857142857142858
11,1,1,0,1.1666666666666667
12,1,1,1,1.3333333333333333
13,1,1,2,1.3333333333333333
14,1,2,0,1.0
15,1,2,1,1.0
16,1,2,2,2.0
17,1,3,1,1.5714285714285714
18,1,3,2,-0.5
19,1,4,0,1.0
20,1,4,2,1.3333333333333333
21,1,5,1,1.2307692307692308
22,2,1,0,2.0
23,2,1,1,1.3333333333333333
24,2,1,2,2.0
25,2,2,0,1.3333333333333333
26,2,2,1,2.0
27,2,2,2,0.42857142857142855
28,2,3,1,1.2857142857142858
29,2,3,2,-0.2
30,2,4,0,1.6
31,2,4,2,1.5
32,2,5,1,1.5833333333333333
33,3,1,0,1.1428571428571428
34,3,1,1,1.0
35,3,1,2,0.6666666666666666
36,3,2,0,1.0
37,3,2,1,3.0
38,3,2,2,1.6666666666666667
39,3,3,1,2.142857142857143
40,3,3,2,0.75
41,3,4,0,1.0
42,3,4,2,2.3333333333333335
43,3,5,1,1.9166666666666667
44,4,1,0,0.8571428571428571
45,4,1,1,1.3333333333333333
46,4,1,2,2.6666666666666665
47,4,2,0,1.3333333333333333
48,4,2,1,1.0
49,4,2,2,0.42857142857142855
50,4,3,1,1.0
51,4,3,2,-0.2
52,4,4,0,1.0
53,4,4,2,-0.14285714285714285
54,4,5,1,0.7333333333333333
55,5,1,0,1.2857142857142858
56,5,1,1,1.3333333333333333
57,5,1,2,0.0
58,5,2,0,0.75
59,5,2,1,1.0
60,5,2,2,-0.14285714285714285
61,5,3,1,1.0
62,5,3,2,-1.5
63,5,4,0,1.0
64,5,4,2,-1.25
65,5,5,1,0.4666666666666667
66,6,1,0,0.8571428571428571
67,6,1,1,-0.3333333333333333
68,6,1,2,-3.2
69,6,2,0,1.0
70,6,2,1,0.0
71,6,2,2,-3.2857142857142856
72,6,3,1,-0.2857142857142857
73,6,3,2,-3.4285714285714284
74,6,4,0,1.0
75,6,4,2,-2.7777777777777777
76,6,5,1,-0.4
77,6,5,2,-6.0
78,7,1,0,1.1428571428571428
79,7,1,1,-1.25
80,7,1,2,-3.6
81,7,2,0,0.8571428571428571
82,7,2,1,0.0
83,7,2,2,-4.125
84,7,3,1,0.2857142857142857
85,7,3,2,-3.5714285714285716
86,7,4,0,1.0
87,7,4,2,-2.0
88,7,5,1,0.9285714285714286
89,8,1,0,1.2857142857142858
90,8,1,1,0.3333333333333333
91,8,1,2,-1.75
92,8,2,0,0.75
93,8,2,1,1.0
94,8,2,2,-0.5714285714285714
95,8,3,1,1.0
96,8,3,2,-1.2
97,8,4,0,2.2
98,8,4,2,-1.8571428571428572
99,8,5,1,0.9285714285714286
100,9,1,0,1.8
101,9,1,1,3.0
102,9,1,2,1.6666666666666667
103,9,2,0,1.3333333333333333
104,9,2,1,0.0
105,9,2,2,-0.2857142857142857
106,9,3,1,1.0
107,9,3,2,-0.2
108,9,4,0,1.0
109,9,4,2,0.14285714285714285
110,9,5,1,1.0714285714285714
111,10,1,0,1.1666666666666667
112,10,1,1,0.3333333333333333
113,10,1,2,3.3333333333333335
114,10,2,0,1.3333333333333333
115,10,2,1,1.0
116,10,2,2,-0.14285714285714285
117,10,3,1,1.1428571428571428
118,10,3,2,-0.6
119,10,4,0,1.2
120,10,4,2,1.5
121,10,5,1,1.1538461538461537
122,11,1,0,1.1428571428571428
123,11,1,1,0.3333333333333333
124,11,1,2,-0.75
125,11,2,0,0.6666666666666666
126,11,2,1,1.0
127,11,2,2,0.2857142857142857
128,11,3,1,0.5714285714285714
129,11,3,2,-0.3333333333333333
130,11,4,0,1.0
131,11,4,2,0.14285714285714285
132,11,5,1,0.3333333333333333
133,11,5,2,-5.0
134,12,1,0,1.0
135,12,1,1,0.6666666666666666
136,12,1,2,2.0
137,12,2,0,1.3333333333333333
138,12,2,1,2.0
139,12,2,2,-0.14285714285714285
140,12,3,1,1.0
141,12,3,2,0.0
142,12,4,0,1.0
143,12,4,2,-0.2857142857142857
144,12,5,1,0.8
145,13,1,0,1.0
146,13,1,1,1.3333333333333333
147,13,1,2,1.3333333333333333
148,13,2,0,1.3333333333333333
149,13,2,1,1.0
150,13,2,2,0.0
151,13,3,1,1.0
152,13,3,2,-0.4
153,13,4,0,1.0
154,13,4,2,0.2857142857142857
155,13,5,1,0.7857142857142857
156,14,1,0,1.2857142857142858
157,14,1,1,1.0
158,14,1,2,0.6666666666666666
159,14,2,0,1.25
160,14,2,1,1.0
161,14,2,2,-0.5714285714285714
162,14,3,1,1.2857142857142858
163,14,3,2,-1.8333333333333333
164,14,4,0,1.2
165,14,4,2,-2.2222222222222223
166,14,5,1,0.9285714285714286
167,15,1,0,1.8571428571428572
168,15,1,1,0.0
169,15,1,2,0.0
170,15,2,0,1.0
171,15,2,1,1.0
172,15,2,2,0.0
173,15,3,1,0.8571428571428571
174,15,3,2,1.5
175,15,4,0,1.0
176,15,4,2,1.5
177,15,5,1,1.0
178,16,1,0,1.2
179,16,1,1,0.6666666666666666
180,16,1,2,5.333333333333333
181,16,2,0,1.3333333333333333
182,16,2,1,0.0
183,16,2,2,2.6666666666666665
184,16,3,1,0.5714285714285714
185,16,3,2,0.75
186,16,4,0,0.8
187,16,4,2,2.1666666666666665
188,16,5,1,1.2142857142857142
189,17,1,0,1.4285714285714286
190,17,1,1,2.0
191,17,1,2,-3.75
192,17,2,0,0.5714285714285714
193,17,2,1,-1.0
194,17,2,2,-3.75
195,17,3,1,-0.6666666666666666
196,17,3,2,-5.0
197,17,4,0,0.6
198,17,4,2,-3.7
199,17,5,1,-0.7333333333333333
200,17,5,2,-4.5
201,18,1,0,1.0
202,18,1,1,0.6666666666666666
203,18,1,2,2.3333333333333335
204,18,2,0,1.0
205,18,2,1,2.0
206,18,2,2,0.2857142857142857
207,18,3,1,1.5714285714285714
208,18,3,2,1.25
209,18,4,0,0.8
210,18,4,2,1.6666666666666667
211,18,5,1,0.8666666666666667
212,19,1,0,1.2857142857142858
213,19,1,1,1.3333333333333333
214,19,1,2,-3.25
215,19,2,0,0.8
216,19,2,1,0.0
217,19,2,2,-1.2857142857142858
218,19,3,1,0.42857142857142855
219,19,3,2,-2.3333333333333335
220,19,4,0,1.6
221,19,4,2,-1.875
222,19,5,1,0.13333333333333333
223,19,5,2,-5.0
224,20,1,0,1.5
225,20,1,1,2.3333333333333335
226,20,1,2,5.333333333333333
227,20,2,0,2.0
228,20,2,1,1.0
229,20,2,2,1.8333333333333333
230,20,3,1,1.5714285714285714
231,20,3,2,1.0
232,20,4,0,1.2
233,20,4,2,-0.14285714285714285
234,20,5,1,1.0
235,21,1,0,3.0
236,21,1,1,6.0
237,21,1,2,11.5
238,21,2,0,2.6666666666666665
239,21,2,2,7.25
240,21,3,1,5.0
241,21,3,2,9.5
242,21,4,0,1.3333333333333333
243,21,4,2,8.25
244,21,5,1,4.333333333333333
245,22,1,0,1.0
246,22,1,1,0.6666666666666666
247,22,1,2,-0.25
248,22,2,0,2.3333333333333335
249,22,2,1,2.0
250,22,2,2,1.6666666666666667
251,22,3,1,2.142857142857143
252,22,3,2,0.75
253,22,4,0,3.3333333333333335
254,22,4,2,2.0
255,22,5,1,1.4615384615384615
256,23,1,0,1.0
257,23,1,1,1.0
258,23,1,2,-0.75
259,23,2,0,1.0
260,23,2,1,1.0
261,23,2,2,0.0
262,23,3,1,1.0
263,23,3,2,-1.0
264,23,4,0,1.0
265,23,4,2,-0.14285714285714285
266,23,5,1,0.8666666666666667
267,24,1,0,0.14285714285714285
268,24,1,1,-2.0
269,24,1,2,-6.0
270,24,2,0,-0.2857142857142857
271,24,2,1,-2.0
272,24,2,2,-6.583333333333333
273,24,3,1,-1.8888888888888888
274,24,3,2,-7.181818181818182
275,24,4,0,-0.2
276,24,4,2,-7.066666666666666
277,24,5,1,-2.0
278,24,5,2,-7.333333333333333
279,25,1,0,1.4285714285714286
280,25,1,1,-1.3333333333333333
281,25,1,2,-5.0
282,25,2,0,1.0
283,25,2,1,2.0
284,25,2,2,1.0
285,25,3,1,0.14285714285714285
286,25,3,2,-2.6666666666666665
287,25,4,0,2.25
288,25,4,2,-1.3333333333333333
289,25,5,1,2.3333333333333335
290,26,1,0,1.6
291,26,1,1,1.6666666666666667
292,26,1,2,3.6666666666666665
293,26,2,0,2.0
294,26,2,1,3.0
295,26,2,2,1.0
296,26,3,1,2.4285714285714284
297,26,3,2,2.6666666666666665
298,26,4,0,1.5
299,26,4,2,2.5
300,26,5,1,2.0
301,27,1,0,1.2857142857142858
302,27,1,1,1.0
303,27,1,2,0.0
304,27,2,0,1.3333333333333333
305,27,2,1,2.0
306,27,2,2,2.0
307,27,3,1,1.4285714285714286
308,27,3,2,1.25
309,27,4,0,1.0
310,27,4,2,2.8333333333333335
311,27,5,1,1.5384615384615385
312,28,1,0,1.1428571428571428
313,28,1,1,1.0
314,28,1,2,2.6666666666666665
315,28,2,0,1.0
316,28,2,1,1.0
317,28,2,2,0.0
318,28,3,1,0.42857142857142855
319,28,3,2,-2.1666666666666665
320,28,4,0,1.0
321,28,4,2,-0.8571428571428571
322,28,5,1,0.6
323,29,1,0,2.3333333333333335
324,29,1,1,3.0
325,29,1,2,3.0
326,29,2,0,2.0
327,29,2,1,2.0
328,29,2,2,0.16666666666666666
329,29,3,1,1.0
330,29,3,2,-1.4
331,29,4,0,1.0
332,29,4,2,-0.8571428571428571
333,29,5,1,1.0
334,30,1,0,1.1428571428571428
335,30,1,1,0.3333333333333333
336,30,1,2,-1.0
337,30,2,0,1.3333333333333333
338,30,2,1,1.0
339,30,2,2,1.0
340,30,3,1,1.5714285714285714
341,30,3,2,-0.4
342,30,4,0,1.6
343,30,4,2,0.8333333333333334
344,30,5,1,1.0714285714285714
345,31,1,0,1.3333333333333333
346,31,1,1,0.6666666666666666
347,31,1,2,3.3333333333333335
348,31,2,0,1.6666666666666667
349,31,2,1,2.0
350,31,2,2,1.6666666666666667
351,31,3,1,1.7142857142857142
352,31,3,2,1.75
353,31,4,0,0.75
354,31,4,2,3.1666666666666665
355,31,5,1,1.4615384615384615
356,32,1,0,2.5
357,32,1,1,2.3333333333333335
358,32,1,2,3.6666666666666665
359,32,2,0,3.3333333333333335
360,32,2,1,-2.0
361,32,2,2,3.8
362,32,3,1,2.4285714285714284
363,32,3,2,1.3333333333333333
364,32,4,0,0.75
365,32,4,2,2.0
366,32,5,1,2.0833333333333335
367,33,1,0,1.1428571428571428
368,33,1,1,0.0
369,33,1,2,-1.5
370,33,2,0,0.8333333333333334
371,33,2,1,0.0
372,33,2,2,-1.7142857142857142
373,33,3,1,0.14285714285714285
374,33,3,2,-2.5714285714285716
375,33,4,0,1.2
376,33,4,2,-2.3333333333333335
377,33,5,1,0.4666666666666667
378,33,5,2,-5.0
379,34,1,0,1.0
380,34,1,1,0.3333333333333333
381,34,1,2,1.6666666666666667
382,34,2,0,1.0
383,34,2,1,2.0
384,34,2,2,2.0
385,34,3,1,1.1428571428571428
386,34,3,2,0.4
387,34,4,0,1.0
388,34,4,2,2.6666666666666665
389,34,5,1,1.3571428571428572
390,35,1,0,1.0
391,35,1,1,-1.0
392,35,1,2,-2.8
393,35,2,0,0.8333333333333334
394,35,2,1,0.0
395,35,2,2,-2.0
396,35,3,1,0.0
397,35,3,2,-4.285714285714286
398,35,4,0,1.4
399,35,4,2,-3.0
400,35,5,1,-0.4666666666666667
401,35,5,2,-6.0
402,36,1,0,2.25
403,36,1,1,2.6666666666666665
404,36,1,2,3.0
405,36,2,0,2.3333333333333335
406,36,2,1,3.0
407,36,2,2,1.5
408,36,3,1,2.142857142857143
409,36,3,2,0.75
410,36,4,0,1.3333333333333333
411,36,4,2,2.6666666666666665
412,36,5,1,1.1538461538461537
413,37,1,0,1.6
414,37,1,1,1.6666666666666667
415,37,1,2,3.3333333333333335
416,37,2,0,2.0
417,37,2,1,-2.0
418,37,2,2,4.8
419,37,3,1,1.4285714285714286
420,37,3,2,4.333333333333333
421,37,4,0,2.0
422,37,4,2,3.0
423,37,5,1,1.6153846153846154
424,38,1,0,1.5
425,38,1,1,2.3333333333333335
426,38,1,2,4.666666666666667
427,38,2,0,1.3333333333333333
428,38,2,1,2.0
429,38,2,2,1.8333333333333333
430,38,3,1,1.2857142857142858
431,38,3,2,0.75
432,38,4,0,1.2
433,38,4,2,1.5
434,38,5,1,1.0714285714285714
435,39,1,0,-0.2857142857142857
436,39,1,1,-2.0
437,39,1,2,-6.25
438,39,2,0,-0.8571428571428571
439,39,2,1,-2.0
440,39,2,2,-7.0
441,39,3,1,-2.0
442,39,3,2,-7.2
443,39,4,0,-0.4
444,39,4,2,-6.714285714285714
445,39,5,1,-1.875
446,39,5,2,-6.666666666666667
